Degree,MSE,Bias2,Variance
1,0.1470505751302324,0.14703513621422196,1.5438916010442418e-05
2,0.10711362816479299,0.10688070613727066,0.00023292202752232352
3,0.10716975125241768,0.10687780417528327,0.0002919470771344039
4,0.08769709878001085,0.08732790398621491,0.00036919479379591245
5,0.0877371234578457,0.08732883132644874,0.00040829213139696865
6,0.07878771211363202,0.07822684409847028,0.0005608680151617455
7,0.07884030019379841,0.07823286976763846,0.0006074304261599483
8,0.07496888379297535,0.07437504931636428,0.0005938344766110656
9,0.07496530734235875,0.07437297477920854,0.0005923325631502147
10,0.07333685272961858,0.07249811873317864,0.0008387339964399335
11,0.07337443127061796,0.07247993194890837,0.0008944993217095888
12,0.07267798648081451,0.0716671061270063,0.0010108803538081907
13,0.07256777929150629,0.07163202070115872,0.0009357585903475509
14,0.07243760635259786,0.07129481378401882,0.001142792568579032
15,0.07265352985407808,0.07130698017385106,0.0013465496802270325
