Degree,MSE,Bias2,Variance
1,0.1923684174222954,0.1921392483267841,0.00022916909551127954
2,0.1436156466542628,0.13989805636123137,0.0037175902930314036
3,0.14455326738967889,0.13917093649257947,0.005382330897099391
4,0.12164904442447545,0.11552703943123717,0.006122004993238269
5,0.12318952619054428,0.11475098740540694,0.008438538785137317
6,0.11695599350075209,0.10503393314672266,0.011922060354029412
7,0.1291398863151788,0.10468363258389309,0.024456253731285717
8,0.17294645897577174,0.10617811413732949,0.06676834483844227
9,0.16659880421695694,0.10519629944041237,0.06140250477654454
10,0.2348597388652052,0.1093677132678466,0.12549202559735856
11,0.29997085408638985,0.11551626303251124,0.1844545910538785
12,0.21011796583748008,0.10309851119364583,0.10701945464383425
13,0.32041531117012284,0.11093750741958662,0.2094778037505362
14,0.604396153058074,0.14519436867538343,0.4592017843826907
15,0.5339613286498142,0.14630120168167926,0.3876601269681348
