epoch,mse
1,0.2333489013751257
2,0.13246121080462406
3,0.17175827633732005
4,0.01671725481464114
5,0.0345212204448657
6,0.02347560576304077
7,0.012461534704948596
8,0.01567746990076324
9,0.011764164165643774
10,0.012503208742879468
11,0.01172952529034741
12,0.011851959739576444
13,0.011684683782572253
14,0.011644238892009965
15,0.011632468332745402
16,0.01161055150208565
17,0.011610792395922838
18,0.011602248658987154
19,0.011604360673941909
20,0.011597159931145618
21,0.011591731737913068
22,0.01158924093260457
23,0.011592687107171677
24,0.011612880428913513
25,0.011587936415154803
26,0.011584878450902938
27,0.011578532991632364
28,0.011579556747808075
29,0.011568232913583477
30,0.011568861158272381
31,0.011572878154904103
32,0.011566494510453449
33,0.011563092544195129
34,0.011559449659463976
35,0.011568980798635877
36,0.011556128600464404
37,0.011553475035421893
38,0.011554179487966158
39,0.011555712876101003
40,0.011552775797812023
41,0.011554851318434535
42,0.01155107105419218
43,0.01155586046672791
44,0.01154211625695051
45,0.011550354788000592
46,0.01153405763133115
47,0.011519511302295837
48,0.011511017562482264
49,0.011486058816854694
50,0.011497541042872454
51,0.011459231418778465
52,0.011445286483214332
53,0.011434516610827748
54,0.011448235954869667
55,0.011435274317698092
56,0.01141595079228733
57,0.011395204648319834
58,0.011390965783372797
59,0.011383455800955723
60,0.011369333467279242
61,0.011363449311775197
62,0.011336790683286387
63,0.01132920679198461
64,0.01132576831487024
65,0.01132567838435335
66,0.011327153619680343
67,0.011322395500387415
68,0.011311846167824683
69,0.011292010660499518
70,0.01128347573402297
71,0.011304772729028406
72,0.01131242978891255
73,0.011330702808133834
74,0.011348522082963053
75,0.011283860296101147
76,0.011256820590541223
77,0.011240801597664678
78,0.011235877999741333
79,0.011228829661140466
80,0.011221263753396538
81,0.011215981056290378
82,0.011210197802972562
83,0.011199686715487416
84,0.011193644119320546
85,0.011187435815051782
86,0.01118236471074797
87,0.011175620614868981
88,0.011169884286108954
89,0.011167205382722725
90,0.011164982598139073
91,0.011157792177920225
92,0.011143418243026138
93,0.01113852039922172
94,0.011124332864100018
95,0.011131446377609544
96,0.011125107620317376
97,0.011101582604458924
98,0.01109539822399348
99,0.011094302882139678
100,0.011083340598924338
101,0.01108301172647905
102,0.011091004235198343
103,0.01107796339155855
104,0.01106573969447051
105,0.011065263640489898
106,0.011052388302361629
107,0.011044210584182389
108,0.011061024898603918
109,0.011071361315596549
110,0.011065602274624076
111,0.011027697421482912
112,0.011001008777975827
113,0.010995822418666177
114,0.011001916016324163
115,0.011004787963285769
116,0.01098758046822973
117,0.01096431835584576
118,0.010960167982629006
119,0.010949313691935175
120,0.010942546037135124
121,0.010933341381158215
122,0.010930269766213647
123,0.01092675666256147
124,0.010913341217516456
125,0.010906465871260327
126,0.010912350533463337
127,0.010908294814361135
128,0.01090208287931413
129,0.010901651502551301
130,0.010854536029874757
131,0.010841057282225935
132,0.010839071072259098
133,0.010825041424380575
134,0.010809895234371269
135,0.010795213318478734
136,0.010786841130659
137,0.010782877748739116
138,0.010771580449954576
139,0.010758976242198175
140,0.010764138695291213
141,0.01074336159432944
142,0.010754330762783315
143,0.01079409842473539
144,0.01078537158495563
145,0.010983433335472857
146,0.010965972441844189
147,0.01066715316726773
148,0.010672722613400163
149,0.010716945313565172
150,0.010636326981293753
151,0.010626424676683684
152,0.010622254752080318
153,0.01059473218566303
154,0.010588325274467757
155,0.010573936708046008
156,0.010562912055116846
157,0.010560282883460146
158,0.010538882477785241
159,0.010538857441414284
160,0.010537154907285344
161,0.010523104269507888
162,0.01050621457561243
163,0.010495678300654192
164,0.010468727801418816
165,0.010456129525003417
166,0.010437551656943395
167,0.010436003398943502
168,0.010463348432540305
169,0.010459193778712466
170,0.010474170524036869
171,0.010412927521348704
172,0.010370188536633362
173,0.010372221683969816
174,0.010355861226640804
175,0.010321967654094327
176,0.010321192841530064
177,0.010308385649743346
178,0.010302713082279258
179,0.010300868642254995
180,0.010282122127231626
181,0.010279822064605341
182,0.010259547965007275
183,0.01025476434913303
184,0.010248262739738863
185,0.010219022224309005
186,0.010212356729914565
187,0.010197329528408995
188,0.010208216056939542
189,0.010193833758749786
190,0.01020094028920109
191,0.010224241890349903
192,0.010240684597278069
193,0.010275579759230363
194,0.01013361321961417
195,0.010081301907106236
196,0.010108521793645645
197,0.010069139427949918
198,0.010119620860687996
199,0.010136120189547047
200,0.010110405995715489
201,0.010069334400602545
202,0.010048817312204663
203,0.009975958098732805
204,0.009962944233132365
205,0.0099606526276991
206,0.009920694223815932
207,0.009902481843876775
208,0.009893441352003195
209,0.009876199654349485
210,0.009859812981255387
211,0.009858705250754744
212,0.009854316310582981
213,0.009909535248001445
214,0.009867354081372386
215,0.009816644637943111
216,0.009803634905479844
217,0.009793941996467145
218,0.009812026911005021
219,0.009784420597423656
220,0.009765309417040294
221,0.009755839563720848
222,0.009734815341759163
223,0.009721724314616802
224,0.009717571974201067
225,0.00971063849521076
226,0.009690481784840686
