Regression,Method,MSE,R2,Epochs
ols,vanilla,0.13502816870324644,-0.4761264400517542,1000
ols,momentum,0.1203463806852125,-0.3156252965586197,1000
ols,adagrad,0.16379386019739123,-0.7905926598684352,1000
ols,rmsprop,0.12418479138198603,-0.35758675964960696,1000
ols,adam,0.12450834445526063,-0.36112383825185246,1000
ridge,vanilla,0.13507009847259574,-0.4765848158244259,1000
ridge,momentum,0.12056752030742594,-0.3180427924517153,1000
ridge,adagrad,0.1637929163007461,-0.790582341200798,1000
ridge,rmsprop,0.12425613838980645,-0.3583667243464086,1000
ridge,adam,0.1246062516464378,-0.3621941585780166,1000
lasso,vanilla,0.1355431127262115,-0.4817558023895927,1000
lasso,momentum,0.12070191832106353,-0.3195120300435905,1000
lasso,adagrad,0.16382437511085,-0.7909262485633346,1000
lasso,rmsprop,0.12438189807425179,-0.35974152781952906,1000
lasso,adam,0.12469721361197594,-0.3631885537746591,1000
