Regression,Method,MSE,R2,Epochs
ols,vanilla,0.24966284098593974,-1.2706684145297125,1000
ols,momentum,0.2025525314813482,-0.8422030034643178,1000
ols,adagrad,0.25798239511950966,-1.346334255387188,1000
ols,rmsprop,0.2211972621909045,-1.0117756997951504,1000
ols,adam,0.23299357116134972,-1.1190624152768986,1000
ridge,vanilla,0.24961492820418307,-1.2702326506821273,1000
ridge,momentum,0.2025386459629511,-0.8420767155156623,1000
ridge,adagrad,0.257985937129824,-1.3463664697564264,1000
ridge,rmsprop,0.2210469715714145,-1.0104088157152913,1000
ridge,adam,0.2329025076281132,-1.1182341979586181,1000
lasso,vanilla,0.24995765417349908,-1.2733497226111803,1000
lasso,momentum,0.20433865172425145,-0.8584476588727732,1000
lasso,adagrad,0.2579859707290216,-1.346366775339093,1000
lasso,rmsprop,0.22239725370834162,-1.0226895499523767,1000
lasso,adam,0.23335851808639965,-1.1223815854522363,1000
