Degree,MSE_Lasso,R2_Lasso
1,0.25688479494578387,-1.3363516482982867
2,0.17171546669073573,-0.5617417672613967
3,0.1714012247833179,-0.5588837561497813
4,0.1468628512856556,-0.3357087356900379
5,0.1468628512856556,-0.3357087356900379
6,0.13848948858740065,-0.2595535091964021
7,0.13848948858740068,-0.2595535091964023
8,0.13934698753924943,-0.26735241021733946
9,0.1393469875392494,-0.26735241021733924
10,0.1398776869325793,-0.2721790890506228
11,0.1398776869325793,-0.2721790890506228
12,0.14002424692374724,-0.27351204329188916
13,0.14002424692374724,-0.27351204329188916
14,0.14005414117502046,-0.27378392969626564
15,0.14005414117502046,-0.27378392969626564
