Degree,MSE_Lasso,R2_Lasso
1,0.13697667402401467,-1.018304941041868
2,0.09704932727159642,-0.4299889974165356
3,0.09704932727159642,-0.4299889974165356
4,0.0892754464797544,-0.3154434945048905
5,0.0892754464797544,-0.3154434945048905
6,0.0876958769701821,-0.2921690722822432
7,0.0876958769701821,-0.2921690722822432
8,0.08801572562270989,-0.2968819339456039
9,0.08801572562270989,-0.2968819339456039
10,0.08808633578649477,-0.297922350815631
11,0.08808633578649477,-0.297922350815631
12,0.08813413920597911,-0.2986267180258251
13,0.08813413920597911,-0.2986267180258251
14,0.08814263795889402,-0.29875194427418483
15,0.08814263795889402,-0.29875194427418483
