Degree,MSE_Train,MSE_Test,R2_Train,R2_Test
1,0.15353099493671396,0.13690244631925658,-0.8502113214103464,-1.0172112209297177
2,0.11058316151090596,0.09702036055858851,-0.33264437887063014,-0.42956218270223356
3,0.11058305922637376,0.0970083781684968,-0.33264314623353597,-0.4293856262388802
4,0.08844828536905776,0.08407325442194381,-0.06589564547940352,-0.2387909548711198
5,0.08843796642385357,0.08406782402884568,-0.065771291245591,-0.23871093986637648
6,0.079466670975993,0.07291547583875563,0.04234233370805962,-0.07438486306054148
7,0.07946651386901704,0.0729077676988505,0.04234422701374496,-0.07427128622735002
8,0.07549700664339615,0.06953038988339168,0.09018099907590327,-0.02450676696686127
9,0.07549630028892534,0.06944378070882906,0.09018951139642417,-0.023230610086832026
10,0.07394314340656302,0.07403389536848187,0.10890669908128014,-0.09086439637588861
11,0.07393972231817864,0.07418757292394755,0.10894792682466148,-0.0931287831536638
12,0.0734679071444201,0.07341816060269027,0.114633800067788,-0.08179175295668428
13,0.07346614666972381,0.07342134913888826,0.11465501565500835,-0.08183873495861249
14,0.07292576359004585,0.0724381600942402,0.12116720488644606,-0.06735177708107254
15,0.0729109307847199,0.07235293960907599,0.12134595592205066,-0.06609608206941853
