Degree,Lambda,MSE_Train,MSE_Test,R2_Train,R2_Test
1,0.01,0.1742210538152666,0.2562655242115107,-0.9111964831524579,-1.330719418484656
1,0.1,0.17422105586891867,0.2562676802686599,-0.9111965056809215,-1.3307390276938174
1,1.0,0.17422125665453264,0.25628914688034,-0.9111987082893371,-1.3309342652266292
1,10.0,0.1742374854591094,0.25649376608263474,-0.9113767374858872,-1.332795264475945
2,0.01,0.12462251978745939,0.175479158379608,-0.3671029782194959,-0.5959723151723353
2,0.1,0.12462261331941316,0.17546407767934918,-0.3671040042604774,-0.5958351571170497
2,1.0,0.12463171848549988,0.17533392827628194,-0.36720388748941213,-0.5946514561804279
2,10.0,0.12534155970856037,0.17560205797985262,-0.3749908111671232,-0.5970900795914684
3,0.01,0.12461872410886657,0.17440207762942145,-0.36706133981002154,-0.5861763309974841
3,0.1,0.12461882194630844,0.1744146022809892,-0.3670624130819984,-0.5862902419447666
3,1.0,0.12462823863616879,0.1745166419862115,-0.3671657137115716,-0.5872182868823359
3,10.0,0.12534150505210034,0.1753580209937317,-0.37499021158841606,-0.5948705779861294
4,0.01,0.1022524481787205,0.10411300261029124,-0.12170438114853699,0.053098548284358005
4,0.1,0.10227860022888675,0.10542727351104528,-0.1219912678663615,0.041145334058754535
4,1.0,0.10393150445617558,0.11742993720465719,-0.1401235468131521,-0.06801816512950465
4,10.0,0.12070360712340907,0.16443710044355825,-0.32411269698025835,-0.4955454671569055
5,0.01,0.10201115909858646,0.10201761604022885,-0.11905745168004556,0.0721559622033896
5,0.1,0.10205079453279733,0.10391396299343092,-0.11949225046476863,0.05490880154215172
5,1.0,0.10385255882169524,0.1174765535255462,-0.13925751704421807,-0.06844213774403651
5,10.0,0.12070513298128267,0.16405596100346775,-0.3241294355668871,-0.4920790270381945
6,0.01,0.0920972312385429,0.08519840219288878,-0.010302145444593958,0.2251256932597091
6,0.1,0.09469884284502794,0.09365626240634463,-0.03884169817921945,0.1482019669840664
6,1.0,0.1045994770154145,0.11753017461338437,-0.14745117328597446,-0.06892981828963163
6,10.0,0.11756262848601577,0.15536188175983381,-0.28965631416094495,-0.41300690299291176
7,0.01,0.09199986833092719,0.08521897386094457,-0.00923407908550744,0.22493859518494552
7,0.1,0.09468980233176026,0.09369902834276891,-0.03874252418856372,0.14781301338299013
7,1.0,0.1045708209983065,0.11714680344635373,-0.14713681817263646,-0.06544308074959493
7,10.0,0.11756605324672023,0.15530819566199325,-0.28969388361923154,-0.4125186311852831
8,0.01,0.0917440662163573,0.08525615175380755,-0.006427942335426096,0.22460046450154325
8,0.1,0.09408129801628477,0.09080821495918391,-0.03206726145623651,0.1741047859851289
8,1.0,0.10311225318520958,0.11503336248492194,-0.1311364002335622,-0.04622146323476928
8,10.0,0.11696942786114775,0.15283081184177233,-0.2831489321699385,-0.3899869754169365
9,0.01,0.09173474144586369,0.08554978007050429,-0.006325650056833387,0.2219299327487929
9,0.1,0.09405230695627587,0.09090486707698679,-0.031749230938577844,0.1732257408287663
9,1.0,0.10311572084394889,0.11486180096904006,-0.13117444028120406,-0.04466112164078839
9,10.0,0.11696833078121913,0.15283114738823075,-0.28313689725650293,-0.3899900271916492
10,0.01,0.09112385239264822,0.08668753141359534,0.0003757731324656177,0.21158215320681806
10,0.1,0.09435116965172015,0.0907154639967959,-0.03502774016562138,0.17494835036931977
10,1.0,0.10170246487492411,0.1118117027926531,-0.11567109106682993,-0.01692066349737309
10,10.0,0.1170756297713118,0.15264373465914172,-0.2843139619568944,-0.388285519773794
11,0.01,0.09111366953184662,0.08713211741883974,0.00048747861998421627,0.2075386704215395
11,0.1,0.09434188489531115,0.09075764668783212,-0.03492588683958964,0.1745647013497158
11,1.0,0.10170260793900834,0.11180849192360305,-0.11567266047287261,-0.016891460837873185
11,10.0,0.11707424802588831,0.15262857517759248,-0.2842988042768311,-0.3881476452074446
12,0.01,0.09102607207194324,0.08985054279962076,0.0014484184928307275,0.18281475626187083
12,0.1,0.09439336206795328,0.09079088529484333,-0.035490588918711596,0.17426239823249878
12,1.0,0.10095449274348793,0.10962357573912129,-0.10746587317960099,0.002980219500719583
12,10.0,0.11721835647422671,0.15288095469020607,-0.2858796669431134,-0.39044302158585564
13,0.01,0.09101204941484388,0.09068920199075811,0.0016022463589000502,0.1751872017233168
13,0.1,0.0943921427978813,0.09080043231533812,-0.03547721358534872,0.17417556865944428
13,1.0,0.10095308360634765,0.1096579394435658,-0.10745041501373764,0.0026676836905034085
13,10.0,0.11721814057899249,0.1528738958860669,-0.285877298582899,-0.39037882218982256
14,0.01,0.09107056609746804,0.09352662521424107,0.0009603211978019832,0.14938100939300247
14,0.1,0.09426890691460368,0.09068379422347929,-0.03412532194217177,0.17523638503912242
14,1.0,0.10065679447620864,0.10858043400203651,-0.10420013767286918,0.012467530407389238
14,10.0,0.11727589488128791,0.15302112262500228,-0.28651086046888663,-0.39171784046164326
15,0.01,0.09105837160486986,0.09484636809983733,0.0010940941882476851,0.13737802779674446
15,0.1,0.09426878108461481,0.09068548088691528,-0.03412394159331633,0.17522104493734791
15,1.0,0.10065653005882857,0.10859439793247594,-0.10419723702707584,0.012340529305958747
15,10.0,0.11727606944545035,0.15304171375424808,-0.2865127754292547,-0.3919051155347508
