Degree,Regression,MSE
1,ols,0.15030738266665628
1,ridge,0.15030738022212525
1,lasso,0.15022126133720196
2,ols,0.10991559200153345
2,ridge,0.10991553781486321
2,lasso,0.10961748361210943
3,ols,0.11012256693108187
3,ridge,0.11012246446965748
3,lasso,0.10962434687043945
4,ols,0.08908692671936018
4,ridge,0.08908681954789106
4,lasso,0.1009604930645533
5,ols,0.08919560144709701
5,ridge,0.08919481488417522
5,lasso,0.10097423874913111
6,ols,0.08061525289837448
6,ridge,0.080608116353166
6,lasso,0.09755555417258292
7,ols,0.08070930804024361
7,ridge,0.08069407840434356
7,lasso,0.09755587830816267
8,ols,0.07704655547226029
8,ridge,0.07741959393727732
8,lasso,0.09779694238727273
9,ols,0.0775124040944082
9,ridge,0.07754674350459652
9,lasso,0.09779694238727273
10,ols,0.07675947436139594
10,ridge,0.07788843658434315
10,lasso,0.09836057931368708
11,ols,0.07717551381779428
11,ridge,0.07810580286553073
11,lasso,0.09836057931368708
12,ols,0.07659689117434425
12,ridge,0.07803573074518788
12,lasso,0.09851262406415014
13,ols,0.07702293143784375
13,ridge,0.07822297452996559
13,lasso,0.09851262406415014
14,ols,0.07687384180962238
14,ridge,0.07799624183475198
14,lasso,0.09843459756510889
15,ols,0.077820852902661
15,ridge,0.07814755911844791
15,lasso,0.09843459756510889
