x,y
-3.000000000000000000e+00,4.742587317756678106e-02
-2.984962406015037484e+00,4.810986353761671080e-02
-2.969924812030074968e+00,4.880321321570218335e-02
-2.954887218045112895e+00,4.950603562293273696e-02
-2.939849624060150379e+00,5.021844511913838016e-02
-2.924812030075187863e+00,5.094055700783529234e-02
-2.909774436090225791e+00,5.167248753068874600e-02
-2.894736842105263275e+00,5.241435386145846392e-02
-2.879699248120300759e+00,5.316627409941197119e-02
-2.864661654135338242e+00,5.392836726219155802e-02
-2.849624060150375726e+00,5.470075327811978194e-02
-2.834586466165413654e+00,5.548355297792844504e-02
-2.819548872180451138e+00,5.627688808589599578e-02
-2.804511278195488622e+00,5.708088121037768053e-02
-2.789473684210526550e+00,5.789565583371332480e-02
-2.774436090225564033e+00,5.872133630149670158e-02
-2.759398496240601517e+00,5.955804781119068692e-02
-2.744360902255639001e+00,6.040591640007243052e-02
-2.729323308270676485e+00,6.126506893249220043e-02
-2.714285714285714413e+00,6.213563308642968547e-02
-2.699248120300751896e+00,6.301773733933183075e-02
-2.684210526315789380e+00,6.391151095321492837e-02
-2.669172932330827308e+00,6.481708395901526754e-02
-2.654135338345864792e+00,6.573458714017153814e-02
-2.639097744360902276e+00,6.666415201542175151e-02
-2.624060150375939759e+00,6.760591082079890624e-02
-2.609022556390977243e+00,6.855999649080793401e-02
-2.593984962406015171e+00,6.952654263876743845e-02
-2.578947368421052655e+00,7.050568353629961538e-02
-2.563909774436090139e+00,7.149755409195113209e-02
-2.548872180451128067e+00,7.250228982892872875e-02
-2.533834586466165550e+00,7.352002686193281900e-02
-2.518796992481203034e+00,7.455090187307207572e-02
-2.503759398496240518e+00,7.559505208684288990e-02
-2.488721804511278002e+00,7.665261524415725725e-02
-2.473684210526315930e+00,7.772372957540263361e-02
-2.458646616541353414e+00,7.880853377251779979e-02
-2.443609022556390897e+00,7.990716696006856801e-02
-2.428571428571428825e+00,8.101976866530781474e-02
-2.413533834586466309e+00,8.214647878720440777e-02
-2.398496240601503793e+00,8.328743756442505419e-02
-2.383458646616541277e+00,8.444278554225509437e-02
-2.368421052631578760e+00,8.561266353844261545e-02
