x,y
-3.000000000000000000e+00,0.000000000000000000e+00
-2.984962406015037484e+00,0.000000000000000000e+00
-2.969924812030074968e+00,0.000000000000000000e+00
-2.954887218045112895e+00,0.000000000000000000e+00
-2.939849624060150379e+00,0.000000000000000000e+00
-2.924812030075187863e+00,0.000000000000000000e+00
-2.909774436090225791e+00,0.000000000000000000e+00
-2.894736842105263275e+00,0.000000000000000000e+00
-2.879699248120300759e+00,0.000000000000000000e+00
-2.864661654135338242e+00,0.000000000000000000e+00
-2.849624060150375726e+00,0.000000000000000000e+00
-2.834586466165413654e+00,0.000000000000000000e+00
-2.819548872180451138e+00,0.000000000000000000e+00
-2.804511278195488622e+00,0.000000000000000000e+00
-2.789473684210526550e+00,0.000000000000000000e+00
-2.774436090225564033e+00,0.000000000000000000e+00
-2.759398496240601517e+00,0.000000000000000000e+00
-2.744360902255639001e+00,0.000000000000000000e+00
-2.729323308270676485e+00,0.000000000000000000e+00
-2.714285714285714413e+00,0.000000000000000000e+00
-2.699248120300751896e+00,0.000000000000000000e+00
-2.684210526315789380e+00,0.000000000000000000e+00
-2.669172932330827308e+00,0.000000000000000000e+00
-2.654135338345864792e+00,0.000000000000000000e+00
-2.639097744360902276e+00,0.000000000000000000e+00
-2.624060150375939759e+00,0.000000000000000000e+00
-2.609022556390977243e+00,0.000000000000000000e+00
-2.593984962406015171e+00,0.000000000000000000e+00
-2.578947368421052655e+00,0.000000000000000000e+00
-2.563909774436090139e+00,0.000000000000000000e+00
-2.548872180451128067e+00,0.000000000000000000e+00
-2.533834586466165550e+00,0.000000000000000000e+00
-2.518796992481203034e+00,0.000000000000000000e+00
-2.503759398496240518e+00,0.000000000000000000e+00
-2.488721804511278002e+00,0.000000000000000000e+00
-2.473684210526315930e+00,0.000000000000000000e+00
-2.458646616541353414e+00,0.000000000000000000e+00
-2.443609022556390897e+00,0.000000000000000000e+00
-2.428571428571428825e+00,0.000000000000000000e+00
-2.413533834586466309e+00,0.000000000000000000e+00
-2.398496240601503793e+00,0.000000000000000000e+00
-2.383458646616541277e+00,0.000000000000000000e+00
-2.368421052631578760e+00,0.000000000000000000e+00
-2.353383458646616688e+00,0.000000000000000000e+00
-2.338345864661654172e+00,0.000000000000000000e+00
-2.323308270676691656e+00,0.000000000000000000e+00
-2.308270676691729584e+00,0.000000000000000000e+00
-2.293233082706767068e+00,0.000000000000000000e+00
-2.278195488721804551e+00,0.000000000000000000e+00
-2.263157894736842035e+00,0.000000000000000000e+00
-2.248120300751879519e+00,0.000000000000000000e+00
-2.233082706766917447e+00,0.000000000000000000e+00
-2.218045112781954931e+00,0.000000000000000000e+00
-2.203007518796992414e+00,0.000000000000000000e+00
-2.187969924812030342e+00,0.000000000000000000e+00
-2.172932330827067826e+00,0.000000000000000000e+00
-2.157894736842105310e+00,0.000000000000000000e+00
-2.142857142857142794e+00,0.000000000000000000e+00
-2.127819548872180277e+00,0.000000000000000000e+00
-2.112781954887218205e+00,0.000000000000000000e+00
-2.097744360902255689e+00,0.000000000000000000e+00
-2.082706766917293173e+00,0.000000000000000000e+00
-2.067669172932331101e+00,0.000000000000000000e+00
-2.052631578947368585e+00,0.000000000000000000e+00
-2.037593984962406068e+00,0.000000000000000000e+00
-2.022556390977443552e+00,0.000000000000000000e+00
-2.007518796992481036e+00,0.000000000000000000e+00
-1.992481203007518964e+00,0.000000000000000000e+00
-1.977443609022556448e+00,0.000000000000000000e+00
