x,y
-3.000000000000000000e+00,-2.999999999999999889e-02
-2.984962406015037484e+00,-2.984962406015037595e-02
-2.969924812030074968e+00,-2.969924812030074954e-02
-2.954887218045112895e+00,-2.954887218045113007e-02
-2.939849624060150379e+00,-2.939849624060150365e-02
-2.924812030075187863e+00,-2.924812030075188071e-02
-2.909774436090225791e+00,-2.909774436090225777e-02
-2.894736842105263275e+00,-2.894736842105263483e-02
-2.879699248120300759e+00,-2.879699248120300842e-02
-2.864661654135338242e+00,-2.864661654135338201e-02
-2.849624060150375726e+00,-2.849624060150375907e-02
-2.834586466165413654e+00,-2.834586466165413612e-02
-2.819548872180451138e+00,-2.819548872180451318e-02
-2.804511278195488622e+00,-2.804511278195488677e-02
-2.789473684210526550e+00,-2.789473684210526730e-02
-2.774436090225564033e+00,-2.774436090225564089e-02
-2.759398496240601517e+00,-2.759398496240601448e-02
-2.744360902255639001e+00,-2.744360902255639154e-02
-2.729323308270676485e+00,-2.729323308270676512e-02
-2.714285714285714413e+00,-2.714285714285714565e-02
-2.699248120300751896e+00,-2.699248120300751924e-02
-2.684210526315789380e+00,-2.684210526315789283e-02
-2.669172932330827308e+00,-2.669172932330827336e-02
-2.654135338345864792e+00,-2.654135338345864695e-02
-2.639097744360902276e+00,-2.639097744360902401e-02
-2.624060150375939759e+00,-2.624060150375939759e-02
-2.609022556390977243e+00,-2.609022556390977465e-02
-2.593984962406015171e+00,-2.593984962406015171e-02
-2.578947368421052655e+00,-2.578947368421052877e-02
-2.563909774436090139e+00,-2.563909774436090236e-02
-2.548872180451128067e+00,-2.548872180451128289e-02
-2.533834586466165550e+00,-2.533834586466165648e-02
-2.518796992481203034e+00,-2.518796992481203006e-02
-2.503759398496240518e+00,-2.503759398496240712e-02
-2.488721804511278002e+00,-2.488721804511278071e-02
-2.473684210526315930e+00,-2.473684210526316124e-02
-2.458646616541353414e+00,-2.458646616541353483e-02
-2.443609022556390897e+00,-2.443609022556390842e-02
-2.428571428571428825e+00,-2.428571428571428895e-02
-2.413533834586466309e+00,-2.413533834586466253e-02
-2.398496240601503793e+00,-2.398496240601503959e-02
-2.383458646616541277e+00,-2.383458646616541318e-02
-2.368421052631578760e+00,-2.368421052631578677e-02
-2.353383458646616688e+00,-2.353383458646616730e-02
-2.338345864661654172e+00,-2.338345864661654089e-02
-2.323308270676691656e+00,-2.323308270676691795e-02
-2.308270676691729584e+00,-2.308270676691729500e-02
-2.293233082706767068e+00,-2.293233082706767206e-02
-2.278195488721804551e+00,-2.278195488721804565e-02
-2.263157894736842035e+00,-2.263157894736841924e-02
-2.248120300751879519e+00,-2.248120300751879630e-02
-2.233082706766917447e+00,-2.233082706766917336e-02
-2.218045112781954931e+00,-2.218045112781955042e-02
-2.203007518796992414e+00,-2.203007518796992401e-02
-2.187969924812030342e+00,-2.187969924812030453e-02
-2.172932330827067826e+00,-2.172932330827067812e-02
